GEOID,State,ssm_hh,total_hh,county_to_urb,urb_ssm_rate,adj_ssm_hh,adj_hh,adj_urb_ssm_rate,per_ssm,msm_index,msm_urb,male_pop,msm_pop
17161,IL,148.69216623758734,143819,3,0.0012836746938390434,333.30897703082474,144003.61681079323,0.0025640579713467324,0.002314587538928,0.9027048392795496,0.03430668308799435,54820,1697.71
17163,IL,194.9636489928224,256791,2,0.001316614162945478,533.0583165097546,257129.09466751694,0.002629765938810684,0.0020731155188759578,0.7883270097465509,0.03776920561073565,94177,2804.07
17165,IL,6.371485943775101,23662,4,8.506617793153081e-4,26.499844965933917,23682.128359022157,0.0016998775377797136,0.001118980716774905,0.6582713706755935,0.02678621884916539,9091,160.3
17167,IL,273.92754689223983,196122,3,0.0012836746938390434,525.6843951973407,196373.75684830511,0.0025640579713467324,0.0026769584879074325,1.0440319672263108,0.03430668308799435,72706,2604.13
17169,IL,13.748995983935743,6879,4,8.506617793153081e-4,19.600698363845748,6884.85170237991,0.0016998775377797136,0.0028469310903342054,1.674785993144371,0.02678621884916539,3154,141.49
17171,IL,0.6706827309236948,4899,4,8.506617793153081e-4,4.838074787789389,4903.1673920568655,0.0016998775377797136,9.867243764973379e-4,0.5804679187573376,0.02678621884916539,1912,29.73
17173,IL,39.570281124497996,21042,4,8.506617793153081e-4,57.46990628485071,21059.899625160353,0.0016998775377797136,0.0027288784518322757,1.605338261835371,0.02678621884916539,8144,350.2
17175,IL,4.373299006987863,5395,3,0.0012836746938390434,11.298723980249502,5401.925424973261,0.0025640579713467324,0.0020916105076192217,0.8157422846881403,0.03430668308799435,2140,59.89
17177,IL,32.863453815261046,44482,4,8.506617793153081e-4,70.70259108276457,44519.8391372675,0.0016998775377797136,0.001588114253170774,0.934252155155295,0.02678621884916539,16849,421.65
17179,IL,150.28245678558295,131276,3,0.0012836746938390434,318.7981358939972,131444.51567910842,0.0025640579713467324,0.002425343760041458,0.9459005167373744,0.03430668308799435,50090,1625.46
17181,IL,10.060240963855422,17122,4,8.506617793153081e-4,24.625271949292127,17136.565030985435,0.0016998775377797136,0.0014370016339194,0.8453559753465137,0.02678621884916539,6824,154.52
17183,IL,62.708835341365464,74113,4,8.506617793153081e-4,125.75393179176089,74176.0450964504,0.0016998775377797136,0.0016953442533670306,0.9973331700008201,0.02678621884916539,28267,755.15
17185,IL,6.371485943775101,11321,4,8.506617793153081e-4,16.001827947403704,11330.63034200363,0.0016998775377797136,0.0014122628189610546,0.8308026828836591,0.02678621884916539,4248,94.54
17187,IL,32.863453815261046,16760,4,8.506617793153081e-4,47.12054523658561,16774.257091421325,0.0016998775377797136,0.0028090987862993922,1.652530093413954,0.02678621884916539,6413,283.87
17189,IL,4.024096385542169,13781,4,8.506617793153081e-4,15.747066366286429,13792.722969980745,0.0016998775377797136,0.0011416938048099152,0.6716329732206079,0.02678621884916539,5486,98.7
17191,IL,2.682730923694779,16127,4,8.506617793153081e-4,16.401353438712754,16140.718622515018,0.0016998775377797136,0.0010161476587439032,0.597776978729385,0.02678621884916539,6204,99.34
17193,IL,9.05421686746988,13834,4,8.506617793153081e-4,20.82227192251785,13845.768055055049,0.0016998775377797136,0.0015038726518978266,0.8846947021031304,0.02678621884916539,5251,124.44
17195,IL,44.600401606425706,55569,4,8.506617793153081e-4,91.87082602119807,55616.270424414775,0.0016998775377797136,0.0016518695935581478,0.9717579983530631,0.02678621884916539,21525,560.29
17197,IL,555.563787913869,696774,2,0.001316614162945478,1472.9463046860415,697691.3825167721,0.002629765938810684,0.002111171703701862,0.8027983298987601,0.03776920561073565,262625,7963.07
17199,IL,65.72690763052209,67120,4,8.506617793153081e-4,122.82332625816557,67177.09641862764,0.0016998775377797136,0.0018283512209692305,1.075578199213881,0.02678621884916539,26242,756.05
17201,IL,362.58624494299374,284591,3,0.0012836746938390434,727.9085097373409,284956.3222647943,0.0025640579713467324,0.002554456430206645,0.9962553338312221,0.03430668308799435,105613,3609.66
17203,IL,13.11989702096359,38414,3,0.0012836746938390434,62.4309767100966,38463.311079689134,0.0025640579713467324,0.0016231305875032632,0.6330319382953493,0.03430668308799435,14486,314.6
18001,IN,10.84253341080767,35827,4,8.506617793153081e-4,41.31919297833721,35857.47665956753,0.0016998775377797136,0.0011523173638408374,0.6778825757918602,0.02678621884916539,12183,221.22
18003,IN,629.2161172161173,385456,3,0.0012836746938390434,1124.0162300045395,385950.80011278845,0.0025640579713467324,0.002912330353185075,1.1358285911357213,0.03430668308799435,139803,5447.64
18005,IN,82.22710622710623,82371,3,0.0012836746938390434,187.96467443332207,82476.73756820621,0.0025640579713467324,0.002279002297804032,0.8888263538780368,0.03430668308799435,31617,964.09
18007,IN,12.065934065934066,8709,3,0.0012836746938390434,23.245456974578296,8720.179522908644,0.0025640579713467324,0.002665708534269338,1.039644409002662,0.03430668308799435,3257,116.17
18009,IN,11.203951191167926,12074,4,8.506617793153081e-4,21.474841514620955,12084.270890323452,0.0016998775377797136,0.0017770903771957855,1.0454225893924824,0.02678621884916539,4575,128.11
18011,IN,77.31691874780161,71235,2,0.001316614162945478,171.10592864522275,71328.78900989742,0.002629765938810684,0.002398834061538329,0.9121853873516993,0.03776920561073565,26111,899.59
18013,IN,49.672880759760815,15513,2,0.001316614162945478,70.09751626953401,15533.424635509773,0.002629765938810684,0.004512689114883877,1.7160040930961133,0.03776920561073565,6462,418.82
18015,IN,22.344322344322347,20397,3,0.0012836746938390434,48.52743507455732,20423.183112730236,0.0025640579713467324,0.0023760955775943204,0.9266933915485196,0.03430668308799435,8045,255.76
18017,IN,42.64729808251017,37820,4,8.506617793153081e-4,74.81932657621512,37852.172028493704,0.0016998775377797136,0.0019766191097275454,1.1628008875917593,0.02678621884916539,14476,450.88
18019,IN,166.72810411537108,121484,2,0.001316614162945478,326.67565908663954,121643.94755497127,0.002629765938810684,0.0026855068883637947,1.0211961637841882,0.03776920561073565,45942,1771.97
18021,IN,6.256410256410256,26396,3,0.0012836746938390434,40.14028747498564,26429.883877218574,0.0025640579713467324,0.0015187462669703534,0.5923213452824763,0.03430668308799435,10082,204.87
18023,IN,21.323649041255084,33020,4,8.506617793153081e-4,49.41250099424656,33048.08885195299,0.0016998775377797136,0.0014951696969710399,0.8795749480424032,0.02678621884916539,11935,281.19
18025,IN,1.084253341080767,10511,4,8.506617793153081e-4,10.025559303463972,10519.941305962384,0.0016998775377797136,9.530052508735755e-4,0.5606317100456181,0.02678621884916539,4261,63.99
18027,IN,22.046484601975596,33337,4,8.506617793153081e-4,50.404996339010026,33365.35851173703,0.0016998775377797136,0.0015106984785216353,0.8887101834964103,0.02678621884916539,11797,280.83
