educ,mean,median,q025,q975,state
1,90745.91343182349,90538.20629020673,73637.49633902436,109137.47115942699,PA
2,23244.51670356498,22882.99416998357,15351.833027447232,33197.46147220252,PA
3,76274.91952526024,75972.56984431003,60219.636499345324,94009.47311106861,PA
4,12158.9047409527,11636.405811541783,6319.937495104823,20918.99851722214,PA
1,9053.463711049197,8925.857399836636,6339.517412095777,12527.039230837787,RI
2,2443.5693012961983,2333.6805923876054,1183.031941973213,4326.393032236069,RI
3,9647.54249381392,9501.461441269734,6463.666059434918,13641.218873480408,RI
4,1880.495612565354,1732.8333598054014,732.3199765193573,3883.933752344424,RI
1,34457.35304687752,34437.70062382806,26368.705976281977,42671.675696444385,SC
2,5477.688137752198,5282.043563464753,2900.8902269397054,9141.929878850257,SC
3,18013.0552098078,17807.354955873307,12069.936191909828,25091.420169371377,SC
4,5594.206569482028,5268.9448012330595,2423.0260128855402,10639.071248942839,SC
1,4560.655587932257,4541.4108819895955,3113.1155653190654,6112.914282824944,SD
2,723.7968713056902,649.3603204539991,271.3128857926311,1582.0156097898027,SD
3,2192.612930105296,2139.4954917084888,1267.8862713160554,3412.5798832368805,SD
4,590.8145600672199,501.23940109437643,174.8376862255226,1522.2096549940832,SD
1,47812.79817241803,47624.03114558768,38037.95653009589,58587.11446614057,TN
2,11043.726749112815,10764.579074460626,6832.746467302472,16798.549329581703,TN
3,33426.65141851244,33205.842047997794,25381.434685154276,42703.644961791426,TN
4,7479.261013741056,7047.430123473042,3632.7268440559687,13742.378044897343,TN
1,245054.80718319459,244514.8914229151,194540.49962257207,299043.326240513,TX
2,59321.94878498733,57949.833454213905,35897.67429639431,90407.10301036514,TX
3,143455.49001923582,142545.02326166467,105580.95547139994,186821.17422663738,TX
4,32569.857246642674,31344.17746974397,17283.2715068969,54714.0922135449,TX
1,27563.378585191916,27344.866771080557,21029.841824358675,35280.32222784978,UT
2,11120.473784852142,10874.769265075705,6762.623589859365,16866.125665037653,UT
3,7795.426749710734,7659.51667695742,5198.855789873815,11172.642587335482,UT
4,1385.1770526402015,1303.469141599296,654.3199226530066,2581.547148330054,UT
1,71614.86163316002,71615.32298404405,57808.18642634952,85376.11883076988,VA
2,14782.633406579373,14395.794108508846,8989.23617182123,22770.293118180554,VA
3,39414.64116551257,39129.86331524984,29317.11567595295,51130.74523539559,VA
4,8549.713596972026,7890.269080706399,3962.249663008167,16988.835204772142,VA
1,5768.7741097311045,5685.311642807637,3352.453912492533,8672.053580970696,VT
2,2480.2779524043804,2339.382614495646,939.3211005681133,4750.636623145594,VT
3,2501.5669908016976,2383.684003731557,1241.3925724954115,4396.8395877549965,VT
4,875.0176573463434,689.917989029012,198.179187115779,2577.835458918313,VT
1,88741.56341948919,88203.16703084056,70897.9856806921,109706.18288989924,WA
2,16443.280626618198,16120.03630937376,10505.106737273447,24247.043402898613,WA
3,43902.059468655156,43303.08474393209,31167.919510839965,59941.784640386344,WA
4,7278.74867180733,6929.230539831611,3678.9381782317855,12868.005511489382,WA
1,44958.59858412062,44912.31577505255,36455.046076447456,53818.46645520433,WI
2,8744.23354841688,8495.234175366953,5294.528513061135,13535.092884063015,WI
3,22024.822189115435,21841.283424788424,16111.339522767614,28938.395622812932,WI
4,3196.58611977679,2932.9623592812236,1429.3169908646767,6527.842680408028,WI
1,9952.251075839478,9868.432662666197,6905.953471062705,13416.657210306852,WV
2,2321.2505582094263,2165.7805117568378,1046.0464300544966,4428.445556463683,WV
3,7513.512581352744,7428.0529416471345,4977.776729000025,10536.493189067958,WV
4,2236.969703593609,2056.958321396878,881.134807027574,4614.536152411456,WV
1,3566.075842515697,3530.9262538937446,2067.280497470948,5285.683883721237,WY
2,1095.337934147984,1001.1055977088399,379.9742194725512,2313.5170119911304,WY
3,1287.5761547896104,1212.2418010466927,596.483995872023,2384.343642578715,WY
4,362.91106285065365,265.3295054846075,66.73313278224093,1224.380844533062,WY
