income,mean,median,q025,q975,state
4,5001.045836085992,4607.217822431386,2058.9230403046126,9839.162632167701,MS
1,2103.561937230748,2042.1084121892575,1061.6234440239512,3501.4437797048013,MT
2,2573.769346569082,2472.643872555352,1152.46064968844,4526.10966253073,MT
3,4235.479838544168,4171.73579595019,2558.3134174358875,6239.9589710886985,MT
4,2716.3050518351642,2590.038657200339,1182.4807924030265,4888.991009374896,MT
1,30455.46726427128,30128.700554875253,19794.318475020402,42948.96793024912,NC
2,26182.933313260935,25718.51172097172,15627.632691771358,39470.561893127626,NC
3,59019.050500215904,58801.38299129602,44609.96550130302,74739.72409155694,NC
4,33785.58085696463,33299.82063057614,21313.025957869035,49035.14190837266,NC
1,1887.3574956092825,1817.6421858201195,929.5199907980523,3252.0285005271276,ND
2,1335.430849495284,1274.8162565922455,583.1061785491394,2442.8705290842076,ND
3,3628.75106527945,3561.4085840983207,2190.222769350897,5466.622269192942,ND
4,2951.7467935705463,2870.322943833791,1491.0953405091316,4886.318761097217,ND
1,5159.770411279554,5040.21669026635,2647.3145438303272,8336.063047743297,NE
2,3721.938744471302,3583.5439219429945,1708.1539968350005,6529.097130977271,NE
3,8297.865998638981,8203.380063189948,5245.269962665391,11858.16173472552,NE
4,4591.755752658831,4448.922631345887,2142.097445577921,7842.366567893802,NE
1,2822.913715371242,2727.4221741301562,1502.7237550803202,4676.299776989609,NH
2,3090.67214179672,2928.0657221747306,1424.3620646676566,5658.21963574155,NH
3,7170.26406641504,7054.533864018906,4548.571212580284,10396.652314274908,NH
4,8493.092685085807,8396.887945366478,5186.685378209143,12354.326248051024,NH
1,16297.003994342494,15363.686208212577,8296.86611232254,29493.691850838335,NJ
2,16235.291330910482,15315.820602809737,7578.743001391903,30146.633894794864,NJ
3,46858.67278895444,46424.16240243739,32308.676796198542,63911.05511146692,NJ
4,63027.17803219568,62781.11878848988,45123.25717102772,82254.4901535864,NJ
1,11375.635922804639,11238.322766733865,6576.942034100342,16902.701239971753,NM
2,5628.056398669653,5434.619334963285,2669.4737007705285,9728.742834783732,NM
3,9196.354458201617,9033.446113942166,5520.872749146523,13745.000931634397,NM
4,5276.3398795986195,5078.594483533565,2377.1092756077223,9302.62362310041,NM
1,20243.8180419262,19734.48553990349,3875.586994337536,38520.163471774824,NV
2,12082.151643604353,11082.609805691362,4555.206517955701,25188.204478539064,NV
3,16782.981613407654,15999.676131361488,8129.523387579072,29835.18389291946,NV
4,17513.718028368796,16548.23314295575,7348.766708913672,32834.064935470466,NV
1,62785.42516770676,60904.794170588866,37365.167458761534,98898.1868090216,NY
2,65092.20221610443,62421.26589410083,34806.23115088255,110537.05412263682,NY
3,178386.93315302968,177528.08893399627,127225.50439437399,234481.10981603255,NY
4,129835.3243794653,127489.54407940849,82785.09949987501,189028.41525729973,NY
1,27059.253125506882,26655.162249288034,17412.87711814202,39056.845806174824,OH
2,28402.29061813058,27809.41181154663,16805.195564646096,43370.414693897605,OH
3,74497.9635964961,74194.4343190584,56447.406549322855,94039.48037467846,OH
4,54003.029667150324,53408.73705396839,36492.13724759675,74544.99496545934,OH
1,8770.183913392995,8512.395944827867,4984.737503614107,14049.21941971452,OK
2,12399.802266493862,12086.737122448103,6594.479215804919,20010.661737190647,OK
