age,mean,median,q025,q975,state
1,3449.783412136587,3258.0787289569153,1417.959472617859,6552.431055403231,NE
2,5447.186205167117,5326.798932683125,3137.7633895314193,8451.908590484216,NE
3,4227.543229011575,4124.548330002541,2370.237271663175,6633.1500003161445,NE
4,2468.902871330152,2358.733980500796,1188.4517929321883,4378.063225808571,NE
5,6177.915189403236,6095.157018845999,3687.3184764574758,9122.145349749606,NE
1,3165.4560094586677,3035.764154196648,1677.455562037678,5415.399605502557,NH
2,4697.554112119914,4523.998781638289,2724.912828381357,7599.547404018609,NH
3,4117.8394327315555,3996.8034639962666,2432.6140938847666,6499.176035884776,NH
4,2480.2368659986096,2407.600437716051,1407.935740762931,3961.81740799554,NH
5,7115.856188360063,7044.020354484348,4574.33729966589,10072.217722302428,NH
1,22456.67247515038,21812.62237285026,12463.888911165921,36013.36194124432,NJ
2,33162.030233588994,32708.454881652797,22647.235903654808,46113.252306557144,NJ
3,24960.707942105655,24531.114897403982,16182.564633651073,36221.20767824713,NJ
4,22961.93237908521,22331.59291728676,13471.717713149055,36029.9934761625,NJ
5,38876.80311647285,38516.960913774834,27935.542206723883,51755.45324853729,NJ
1,4745.301596041636,4469.7299308582915,1918.6109528546367,9134.62530867481,NM
2,7662.713971857345,7508.838496785708,4455.7362416563465,11795.42741232347,NM
3,5614.897401696427,5477.5694534637005,3174.4749736975236,8813.226897485085,NM
4,3709.0067629240953,3532.9417123095495,1785.741017251244,6580.392903739036,NM
5,9744.466926755023,9598.767500077192,5974.193068770782,14325.282201326589,NM
1,5306.5067650935825,4995.830301744851,2506.096130554359,9945.025027278614,NV
2,19762.721498316216,19321.147034072907,12111.51020099561,29944.546725754848,NV
3,9694.169715167425,9272.282826568422,5262.132798901423,16508.927234078732,NV
4,8177.47079502915,7811.999107278234,4276.654461909506,14129.778640512412,NV
5,23681.80055370063,23224.585488330646,14720.75807707401,35342.63802330951,NV
1,45115.95452719251,43869.811743667124,27169.671456439988,70272.68901167971,NY
2,129026.98179626153,127940.75942992492,87670.68769603314,177033.39533525147,NY
3,63710.29116513324,62014.54437898687,40578.271379379934,96485.53419954177,NY
4,52799.27965625738,51414.96773736937,32772.680694840936,80938.00610495261,NY
5,145447.3777714615,144240.323124087,101478.68703251987,196276.44413551988,NY
1,23030.89040927285,22509.68517152778,13921.768620115114,34998.949076748075,OH
2,48567.83751926093,48148.57567815871,34579.23353120367,64942.9578042467,OH
3,29801.606383922783,29369.355976748284,20298.176891958556,41623.267524598545,OH
4,22105.141839620675,21755.405281709653,14561.005233384063,31700.35049614543,OH
5,60457.060855206655,60134.430388770044,44798.02606343653,77909.51042768601,OH
1,7431.86872620421,7141.627879979577,4183.682137144292,12340.264830419796,OK
2,16396.654018213474,16140.938000498816,10544.636653234884,23671.442505254527,OK
3,10981.031098793075,10748.82184617496,6693.696322472723,16508.22164090709,OK
4,5759.91142085286,5585.973571314582,3392.4524181381967,9136.059077600376,OK
5,19236.62372637595,19061.36552070899,12930.204873798755,26587.23617062003,OK
1,9921.12015043706,9711.928961851674,5971.434965509496,15058.143223027108,OR
2,22160.023700032107,21910.170364443817,15597.68317401842,30117.55948695694,OR
3,15121.168238690116,14904.382635996237,10317.988353129025,21137.643423167283,OR
4,10516.08414429904,10314.967471599986,6793.610856700225,15386.087983901587,OR
5,24884.911202007763,24689.85644643323,18118.29384447801,32722.33914604815,OR
1,27003.392288641367,26477.58031174742,16447.383892615235,40597.50696999054,PA
2,51774.92796931164,51375.39680661647,37443.201659106686,68297.41432042814,PA
3,32397.07783028298,32028.76103399126,22680.24613318869,44318.70225275063,PA
4,25803.8978415458,25418.476562651937,16956.285456241592,36852.484025263446,PA
5,65444.95847181962,65114.6140447506,49395.39268912407,83374.38776083777,PA
1,2809.154402438465,2712.116849962702,1506.4531425403056,4658.957982704389,RI
2,6339.832695005814,6202.1623361594575,3861.5378244584713,9600.188175523785,RI
3,3210.2322519949275,3098.184557205651,1840.0796296080412,5222.254855397112,RI
4,2883.3813557391154,2782.768918453276,1611.9515167335032,4724.997313328355,RI
5,7782.470413546348,7636.925706772763,4974.143436524645,11419.777748189601,RI
1,10296.199490863954,9786.502352252533,4735.0428497388675,18786.48944921886,SC
2,14879.26749975568,14633.413876595023,9245.647369210592,21872.25656080838,SC
3,10547.86576669923,10319.760850338886,6500.95873966809,15861.104604527101,SC
4,8788.205374552042,8479.961853249904,4786.368745967899,14511.74176071792,SC
5,19030.764832048644,18807.922593000316,12283.436533829095,27025.935530898565,SC
1,1120.4508173402237,1039.511332617951,431.5722891193158,2269.4675476741463,SD
2,1989.5324683430556,1903.7030030341573,1051.763817361494,3385.926073946798,SD
3,1680.5175716992835,1621.612928582975,865.664466166377,2812.964125140401,SD
4,699.7699077757337,666.8414315202556,334.6596154429148,1249.7917539254395,SD
5,2577.609184252166,2538.4028065743178,1482.9854687020659,3887.4227932158565,SD
1,12555.274053953557,12226.150377708487,7459.427709376958,19484.5983270039,TN
2,27620.838800834703,27329.44532755338,19553.402072200763,37247.40236894191,TN
3,16996.80474078525,16731.46922235779,11411.798263892793,24034.289741418997,TN
4,11775.559638084653,11580.533206885986,7746.740105705718,16907.71655589414,TN
5,30813.960120126176,30614.304816767537,22351.609520935534,40404.01763474298,TN
1,57398.39654524206,55797.12483481117,34711.60656973584,88924.76429158254,TX
2,146069.24022023776,144990.2660073277,102114.92597673174,196810.24556065825,TX
3,80877.9499421771,79090.28637894575,52964.38588450791,118998.14862454917,TX
4,61617.113846457294,60059.069500355545,38563.49903732116,93732.16397293685,TX
5,134439.45784157474,132945.1842239002,92549.42645046835,184752.07359849845,TX
1,6535.121023273869,6332.358768320188,3515.3655719157287,10669.436607103273,UT
2,15237.52982248467,15025.011114826371,10263.380908025532,21468.3059312001,UT
3,8080.927912011577,7885.36066799605,5057.59418922742,12245.293005248212,UT
4,5530.65469818941,5358.141541755733,3229.150466784726,8800.938462583394,UT
5,12480.222716435466,12246.854019403894,8111.151527259078,18131.761040426114,UT
1,23425.156943010206,22875.9155470644,13624.7959357551,36315.908660626534,VA
2,31117.91913475422,30661.004123747538,21219.714820760335,43476.22325441449,VA
3,25755.26207840562,25351.924419490657,17120.74601075044,36695.1611490345,VA
4,19205.048022689058,18609.475103084587,11051.474919701515,30730.061566387216,VA
5,34858.463623364885,34602.1567326024,25812.731165109308,45431.91648686064,VA
1,1693.079874887887,1538.740813766872,628.3706563352399,3665.9211528392957,VT
2,2519.615604285672,2305.9181897429944,1099.6965057332006,5043.235338033196,VT
3,2439.7790769466724,2301.971994864451,1053.8008143000625,4567.46620351852,VT
4,689.1828213620555,649.6235413295971,307.66619106724,1299.326751693211,VT
5,4283.979332801238,4218.747746575562,2183.7155076351564,6736.889921686955,VT
1,17804.626144166457,17427.65429290851,10818.520984064235,26901.45910641955,WA
2,47007.46091609292,46409.500080457394,32788.77366645975,64669.82129074196,WA
3,26676.355663444494,26161.454564615713,17965.179331597406,38432.57559121226,WA
4,19732.403028586275,19302.10308363234,12583.151320612471,29359.67757597452,WA
5,45144.80643427974,44552.03722828778,32025.446699496606,61709.86330826971,WA
1,10986.219512235444,10608.019493804051,6046.604263008869,18059.588567572704,WI
2,19563.228681769247,19315.65577062138,13570.033231938818,26967.406410785938,WI
3,13537.310233596523,13321.153746531116,8966.67978093045,19293.19378788873,WI
4,9415.29278047556,9217.998633475361,5970.6733688242775,14010.199934244385,WI
5,25422.189233352943,25279.76477945261,18325.529405257163,33317.86680922522,WI
1,3197.833526871419,3025.7941575865407,1396.0564268169096,5956.986926200445,WV
2,4926.1597643528385,4763.132199932108,2763.3945299611596,7988.3736400481,WV
3,4034.323073128814,3910.1918716520586,2217.661940508588,6516.684150730248,WV
4,2450.214614525977,2356.7186620198763,1262.0161966358867,4163.030980537531,WV
5,7415.45294011621,7345.805434040392,4586.675334516917,10618.685335599845,WV
1,785.3721829961966,693.5273335857828,259.9487989898057,1841.765991065363,WY
2,1529.7817596051207,1410.829738037463,645.0345498456089,3030.3554103011265,WY
3,1527.7673206200147,1451.1330475936174,661.6816256655652,2795.342566657175,WY
4,379.40036233618156,352.90021591652277,163.44199926209745,747.3102031236333,WY
5,2089.5793687464316,2032.1132986453422,1038.7132086272607,3450.295372916718,WY
