ST_ABBREV,Category,demographic,value,male_pop,rate
WA,Ethnicity,hisp,19183.5867,563995,0.034013753
WA,Ethnicity,nonhisp,135351.3033,3334217,0.040594629
WA,Income,<20K,17006.2476,265616,0.06402569
WA,Income,"[20K, 40K)",14662.5312,319264,0.04592604
WA,Income,"[40K, 90K)",52749.2437,997741,0.052868674
WA,Income,"[90K, infty)",70116.868,1437937,0.048762128
WA,Race,black,11606.2869,167448,0.069312783
WA,Race,other,36132.2685,1093488,0.033043132
WA,Race,white,106796.3341,2637276,0.04049494
WI,Age,18-24,10226.102,278633,0.036700972
WI,Age,25-34,19253.6564,376381,0.051154698
WI,Age,35-44,13391.5028,377577,0.035466945
WI,Age,45-54,9215.3271,357405,0.02578399
WI,Age,55+,25739.702,906066,0.028408198
WI,Education,College,46106.2896,2139524,0.021549788
WI,Education,Graduate,10378.009,453221,0.022898341
WI,Education,HS/GED,18518.0244,1207407,0.015337019
WI,Education,Less HS,2823.9663,269431,0.010481223
WI,Ethnicity,hisp,6111.7842,236307,0.025863746
WI,Ethnicity,nonhisp,71714.5058,2714233,0.026421647
WI,Income,<20K,12011.3966,247034,0.048622443
WI,Income,"[20K, 40K)",11110.7685,349578,0.031783375
WI,Income,"[40K, 90K)",30894.3572,958049,0.032247158
WI,Income,"[90K, infty)",23809.7682,891367,0.026711521
WI,Race,black,8407.5153,179553,0.0468247
WI,Race,other,8304.142,373365,0.022241351
WI,Race,white,61114.6324,2397622,0.025489686
WV,Age,18-24,2924.2864,81217,0.036005841
WV,Age,25-34,4760.6263,109626,0.04342607
WV,Age,35-44,4020.0736,108864,0.036927484
WV,Age,45-54,2407.8211,114657,0.02100021
WV,Age,55+,7571.392,291455,0.025977911
WV,Education,College,10864.7887,503875,0.021562468
WV,Education,Graduate,2704.6509,119655,0.022603743
WV,Education,HS/GED,6510.5737,501118,0.012992097
WV,Education,Less HS,1604.1872,144554,0.011097494
WV,Ethnicity,hisp,147.0206,19547,0.007521389
WV,Ethnicity,nonhisp,21537.1794,870609,0.024738062
WV,Income,<20K,5458.0482,121213,0.045028571
WV,Income,"[20K, 40K)",4066.9426,134984,0.030129072
WV,Income,"[40K, 90K)",7590.1367,277287,0.027372854
WV,Income,"[90K, infty)",4569.0724,187964,0.024308231
WV,Race,black,772.7383,33195,0.023278756
WV,Race,other,1351.1123,51564,0.026202628
WV,Race,white,19560.3495,805397,0.024286593
WY,Age,18-24,674.9053,27366,0.024662183
WY,Age,25-34,1442.3605,38832,0.037143606
WY,Age,35-44,1537.7009,40015,0.038428112
WY,Age,45-54,366.5935,33770,0.010855597
WY,Age,55+,2131.8196,88422,0.024109606
WY,Education,College,3636.2292,218136,0.016669551
WY,Education,Graduate,1090.4097,43981,0.024792745
WY,Education,HS/GED,1169.6282,109885,0.010644112
WY,Education,Less HS,257.1132,23502,0.010940056
WY,Ethnicity,hisp,119.0234,31658,0.003759663
WY,Ethnicity,nonhisp,6034.3566,264988,0.022772188
WY,Income,<20K,760.8878,26555,0.028653278
WY,Income,"[20K, 40K)",1110.1188,35818,0.030993322
WY,Income,"[40K, 90K)",2248.3128,89689,0.025067877
WY,Income,"[90K, infty)",2034.0602,86114,0.023620552
WY,Race,black,57.282,3139,0.018248487
WY,Race,other,1267.3348,38689,0.03275698
WY,Race,white,4828.7633,254818,0.018949852
