age,mean,median,q025,q975,state
2,4857.132526247383,4647.802709164689,2345.1348798982003,8524.246650670128,ND
3,3628.1628067080774,3484.117366096004,1760.23671995278,6288.691043985423,ND
4,1491.8194432445036,1371.1603564454595,576.2582928183831,3098.123475805323,ND
5,4965.149512817147,4822.252931548548,2579.3890110911507,8166.850634787743,ND
1,6180.863486415004,5709.3499846697705,2270.3824183542906,12755.668396945353,NE
2,10040.124290605858,9596.685832900708,4873.451071962741,17692.00581702373,NE
3,8567.169997788818,8238.860206359757,4217.888066318691,14712.36303287952,NE
4,3922.1283844016357,3650.1287704277343,1600.0593342878951,7804.8527316706095,NE
5,12484.357217266417,12193.282629405458,6616.176765510621,20031.88585544342,NE
1,6131.068866274212,5746.475785827153,3009.710289972543,11613.010796424509,NH
2,9439.395695198602,8893.317048194112,4828.789363150263,17019.23898821335,NH
3,8833.217953294827,8453.409431812872,4680.435870452701,15088.68895810941,NH
4,4216.635403485233,4066.591028159963,2283.728263888868,6996.384091769747,NH
5,15227.797430205235,14970.631488236822,8895.121729025865,22979.255567579756,NH
1,38276.42474490775,36687.52768808456,19591.753587585048,65774.16355483202,NJ
2,48761.76079593222,47515.45352560168,31100.962875999638,73531.5897843765,NJ
3,40378.084574564666,39276.01646952628,24200.291606208575,63007.85601889992,NJ
4,37638.661606595415,36031.670586358116,20318.439997330745,63998.21953909704,NJ
5,60278.45483061686,59169.982563263184,40151.384436842076,86710.6684907576,NJ
1,8403.334393175106,7753.352411923886,3058.827884178626,17434.4529194625,NM
2,13937.525658154043,13380.250964646773,6860.242236511788,24157.215661972263,NM
3,11049.752668500092,10654.884392124492,5508.661862220686,18843.101513764457,NM
4,5895.046464237069,5476.396120876895,2408.984285545132,11779.601324617362,NM
5,18255.862980569098,17746.497424471374,9989.005333899584,29526.859090376187,NM
1,6737.442661283835,6398.4753678638535,3226.883041527279,12181.584942640442,NV
2,23091.877804100794,22646.93915838519,14507.466332123648,34231.29709038557,NV
3,12204.493045708854,11800.477029070997,6954.168820442433,19745.761543154455,NV
4,9374.786906665844,9005.24096505167,5035.168350566446,15832.424949029635,NV
5,28423.424079153036,27945.00670406133,18327.341256502405,41285.26380371496,NV
1,67172.65738478543,65498.6378992279,39929.99823804372,104037.32415739403,NY
2,158270.0497429128,155940.13510578504,105872.1674206031,224097.50356473436,NY
3,89754.47375649455,87894.47457231944,57892.90767670108,132478.40223751662,NY
4,68931.87648202971,67193.13691904605,42379.640818197215,105448.58474156522,NY
5,189091.61323887005,186800.83170394326,131728.14224285178,259756.03873961887,NY
1,38018.784155797446,36591.67766834254,21435.21275297737,62764.683326652244,OH
2,70814.76428709883,69359.89186655368,46581.851009614285,103273.93216826076,OH
3,51154.58205706121,50008.45901771425,32045.152188368265,76709.4728975894,OH
4,31950.459109648284,31201.410588234212,19849.60295964662,48428.902238175484,OH
5,94041.45239664974,93061.5222481834,65061.74222193583,128482.00319268397,OH
1,12917.53495822527,12004.893614057133,6635.24859067549,24618.889636655233,OK
2,24504.60060607687,23459.443466194418,14245.704519267994,40375.308662292584,OK
3,20081.600663843714,19328.050805472194,10979.98073606771,33259.81776721761,OK
4,7562.776891156276,7340.575917186417,4414.107314928505,11988.935655706551,OK
5,30827.851009525923,30251.61867547734,19060.333875607732,45874.69301792092,OK
1,16652.364583886418,16099.875119644705,9438.216624050352,26987.691045600488,OR
2,32746.971919073232,32152.67974167523,21938.114189865984,46890.909299338666,OR
3,25557.075368226295,25072.477232406258,16572.246620935693,37305.52400621055,OR
4,15436.066676433764,15069.04311530388,9511.472052260226,23479.933996491818,OR
5,40615.53720737142,40233.54123406361,28079.465552751662,55344.90728314067,OR
1,44695.530815000464,43320.717654318214,25520.862883819766,71657.06667903347,PA
2,75965.62588148746,74806.86560070541,51460.49955771714,107302.33120144093,PA
3,54915.315840706055,54005.81733708297,35816.311743880935,79380.12235934687,PA
4,39245.54349700753,38270.96851422452,23963.812772621797,60376.57467476066,PA
5,103574.09364887404,102581.28547312097,73516.52726751126,139233.31493028704,PA
1,4095.5893836526902,3959.5309614335497,2175.273706843658,6791.168190711405,RI
2,7523.767866608194,7373.677826121918,4720.963965521464,11172.806401576354,RI
3,4229.827379019118,4112.9348698777285,2483.913283548374,6653.984223004555,RI
4,3836.092305176271,3706.9456462216076,2123.5876842026046,6250.291113557136,RI
5,9603.808708781722,9454.650341275104,6306.555984733759,13736.467276295523,RI
1,17641.65616739636,16430.943161673946,7478.605196181044,34898.07717655793,SC
2,25988.25742221,25027.682516335044,13874.409983006424,43665.77199294455,SC
3,19542.880707970373,18868.72635343155,10823.6955862025,32137.252517969937,SC
4,14204.442850698817,13382.388349877536,6788.644440206691,26345.256079142448,SC
5,34529.66687383597,33532.464634054435,20047.859131189314,54836.06523825374,SC
1,2262.6319824825873,2015.3322087035287,745.2806895585326,5209.270008281537,SD
2,4045.196224048696,3759.1006234967376,1734.5748012945191,7890.875346353291,SD
