state,age,mean,median,q025,q975
ME,4,0.02492181055459849,0.023135777753017756,0.010166937844708908,0.04994859584039385
ME,5,0.03824993639240823,0.037583921618875804,0.02080275630093148,0.05963567875809455
MI,1,0.03709698473733412,0.03598357664547734,0.021186067640496024,0.059172544208351226
MI,2,0.04091860931480027,0.04010312788092005,0.027050398964890622,0.05918961287174644
MI,3,0.03388365135004802,0.03321689592132307,0.021612059563765763,0.049998082244572244
MI,4,0.023010543168787454,0.02243051967611765,0.01398978197539622,0.03535327268222835
MI,5,0.025355263979662444,0.025142262206234053,0.017880580391530704,0.034086402854517465
MN,1,0.03420728665177012,0.0330241686354911,0.019566327856049524,0.05575049396828192
MN,2,0.04602693703241899,0.04513111051059013,0.03006701169085664,0.06685052156728245
MN,3,0.03499288450905735,0.03430495632041056,0.022059308464230435,0.05188516451195726
MN,4,0.02220901331353637,0.021669204153364482,0.01348214729856459,0.03398017882766367
MN,5,0.028270705021545682,0.028012734913055073,0.019463776616262796,0.038602972107468596
MO,1,0.04030314313845889,0.03872885282262797,0.022347667134588106,0.0671902094146618
MO,2,0.04545199512909658,0.04413271482521065,0.028899562056545043,0.06923483639196204
MO,3,0.03915314932553066,0.038177233299643884,0.024024293575610374,0.05988446899100301
MO,4,0.02265824926037594,0.02203934244163641,0.013525260793418368,0.03539495013009458
MO,5,0.02788084521404235,0.02755793027000946,0.018804117915739323,0.03878321218980662
MS,1,0.030257320609324775,0.027057071107000664,0.012010672754711016,0.06698242485517797
MS,2,0.038208282640727786,0.035152942504043654,0.016529291318599586,0.07560350750643544
MS,3,0.03886213291216011,0.0368198854352849,0.017818112787120578,0.0711235244900422
MS,4,0.01249992219994189,0.011851756533838582,0.006287769618068325,0.022528277629324394
MS,5,0.0247403839014452,0.023989130148103503,0.012535437275360344,0.04108933873712689
MT,1,0.029307735082561563,0.02655756836449119,0.01028389973518771,0.06405131585371646
MT,2,0.03733654531492419,0.034781710337408005,0.016390875032148956,0.07207406323282028
MT,3,0.03598023957559889,0.034147504254106856,0.015951801302062984,0.06624814009199013
MT,4,0.012755454429612956,0.011798267181665786,0.005147625850886157,0.025793792148362343
MT,5,0.024367851306501858,0.023816391402961407,0.012475346162788363,0.03936044243128726
NC,1,0.03390780288306376,0.032199516831037,0.017526125117868996,0.05963750872631047
NC,2,0.04300469825333959,0.041815602849628195,0.026916712419342473,0.06569304819370124
NC,3,0.03391787317285471,0.03299632764752018,0.020356679250246437,0.05260719855740713
NC,4,0.02117449463896286,0.02046832140481015,0.01263884496254862,0.033778576892406716
NC,5,0.02690574174229445,0.026524322451136846,0.01750950481362092,0.03846517381126806
ND,1,0.03656939880087557,0.03381813862487475,0.013539587241834308,0.07496135545550171
ND,2,0.04097568067567711,0.03921357057974913,0.0198215290107286,0.07205762729604454
ND,3,0.03400659824913956,0.03265867915291064,0.01651911497341888,0.058924578928188975
ND,4,0.018350591680440433,0.016818887653981773,0.0070882845485706805,0.03826662807073259
ND,5,0.02380109325789033,0.023099229836479045,0.012362930511466166,0.0391578709585844
NE,1,0.031820362644810266,0.029407988440408282,0.01167551734717638,0.06528766163859796
NE,2,0.03901166244638509,0.03728723478209741,0.01895875794663437,0.06860730407144197
NE,3,0.03301971784911816,0.031784800627830526,0.01628874768908152,0.056610541285883755
NE,4,0.01765783530220767,0.016390388791403122,0.007195144541307924,0.03543734980923837
NE,5,0.02356445667800664,0.023023893287970193,0.012541735262113824,0.03769389312309354
NH,1,0.04975731401966721,0.04659958658982963,0.024357183388734927,0.0935636822462185
NH,2,0.051973056935965184,0.048928624553888474,0.026680239511188544,0.09358427274425364
NH,3,0.051932133013189684,0.04972782563023839,0.02756757204518469,0.08855366361330924
NH,4,0.023945148673896362,0.02308630787820387,0.01294197689942872,0.03968027204531051
NH,5,0.032771484855865354,0.03219972656029062,0.01923343805843935,0.04934031860200981
NJ,1,0.04849103621925416,0.046576525587498224,0.024932248614723068,0.0830615692069917
NJ,2,0.04075703953042384,0.039747888957565314,0.025958861345588613,0.06127107974010971
NJ,3,0.03321010126957058,0.03224435119863422,0.019854364030666923,0.05198311986051542
NJ,4,0.03125811825465031,0.03003306113395073,0.016875587339138555,0.052724530591036115
