state,age,mean,median,q025,q975
LA,1,0.07013474492157294,0.0645868035671962,0.025715245042351082,0.14671788004939063
LA,2,0.08141594453005768,0.0782736499413535,0.04136754908742029,0.13944485005110918
LA,3,0.061916162136619435,0.05963529944640493,0.031840788918517764,0.10545112452369723
LA,4,0.045724767979487636,0.0425958772656584,0.01882617134909815,0.09073513811818883
LA,5,0.04643564501992745,0.04481729398486593,0.024960981705030593,0.07734963054379543
MA,1,0.11607778711874782,0.11222366544508032,0.06373425863300114,0.18961095024089064
MA,2,0.1014117822933559,0.09936913201491823,0.06725022865897747,0.14743321626483405
MA,3,0.08315382374213674,0.08116671153967336,0.05186363867086898,0.12581174329909703
MA,4,0.07630763923060827,0.07344636058753831,0.042506309363220154,0.1265797465624463
MA,5,0.05762833482523186,0.05672318610701459,0.03951643187587632,0.08100539314389982
MD,1,0.10696919490613759,0.10238213091482173,0.05364109844484586,0.18572524339546898
MD,2,0.08468981811585187,0.0821764824981413,0.05159227181004045,0.13188863884236646
MD,3,0.07665356564424361,0.07461297922530183,0.04554072767978623,0.12018979944737444
MD,4,0.06428560956294113,0.06110429716230196,0.03190732835490911,0.11491664695721096
MD,5,0.050172011791382136,0.0491977471370265,0.03350092136975478,0.07261368988998923
ME,1,0.10081630886814222,0.09128477251812672,0.034868676842930595,0.22123240914340336
ME,2,0.12577451066398218,0.118194721565125,0.057084389702019754,0.23476133204340624
ME,3,0.11323874386262345,0.10764209626661518,0.052208525301056644,0.20529271779783417
ME,4,0.049200280647827985,0.045767047144655675,0.020183950149100256,0.09764743517758108
ME,5,0.07589813151442387,0.07454074732099523,0.04117170993496326,0.11848660679371278
MI,1,0.07380183287242591,0.07156437001648554,0.04216584466804361,0.11797306080705362
MI,2,0.08135852591156274,0.07980644083603451,0.053887457089540264,0.117695250038389
MI,3,0.0673209076782176,0.06597717542570958,0.04286222468166833,0.09931408965144062
MI,4,0.04575449490585425,0.04458144013085957,0.02781107123658733,0.0705081702826921
MI,5,0.05037163332888076,0.04994076999406478,0.03540541052289371,0.06773710602704199
MN,1,0.06813121147154919,0.06575316109291957,0.038995830179387014,0.11150207468289423
MN,2,0.09152842219529282,0.08974839112092846,0.059929344881192975,0.13355422948559975
