state,race,mean,median,q025,q975
OR,3,0.1215805475347848,0.12098163762083111,0.098351761971264,0.14811935848583457
PA,1,0.030941193008188712,0.03060451069261403,0.021967626355950336,0.04198813093620092
PA,2,0.018203785964791115,0.017557739607547238,0.00926560228971096,0.030475215739422825
PA,3,0.04338837104449628,0.04309045173594628,0.034606470335144766,0.0538824255252896
RI,1,0.045585743818926466,0.043418882442378,0.02285467050614944,0.08120863448602933
RI,2,0.05178833320035235,0.04942561308935664,0.026207645152129967,0.0911598849410196
RI,3,0.07160272323629568,0.07109867485198706,0.05610019918223284,0.08984672128546745
SC,1,0.011572251883470068,0.01103314781257897,0.005939380482997083,0.020214589406953004
SC,2,0.013888893058174628,0.01310446150395747,0.005686339006383321,0.02645017317114704
SC,3,0.044392206477055114,0.043481695313145274,0.030362564164984222,0.06358131050541906
SD,1,0.0008972822537339982,0.0008604493680727726,0.0004825673581314527,0.0015281181678259332
SD,2,0.0019152970444798174,0.001836518015843436,0.0006636975841894894,0.003601794624757056
SD,3,0.003696432427718508,0.0036486292013809046,0.0024314799589955994,0.0052391612226065564
TN,1,0.008512608882263042,0.008259410911764357,0.005156375419065146,0.01330697792317142
TN,2,0.005786663833793647,0.005678569457922212,0.0035668010073063717,0.0085859423639577
TN,3,0.01096915405782515,0.01091726032440004,0.008444136676089923,0.013839869382920277
TX,1,0.04177180199496924,0.04103892090470708,0.027381550487535537,0.06049849556589831
TX,2,0.014398050436133122,0.014179563054721858,0.008898363557350963,0.02118632716903061
TX,3,0.023602324004789895,0.023475750693458444,0.01877924932368931,0.029129268354911086
UT,1,0.03656355002145301,0.03470240148142878,0.019376982292382154,0.06431161312201383
UT,2,0.03689804053060736,0.03561467174307971,0.018843273753440283,0.06227898364040124
UT,3,0.06648686519889699,0.06586238531100237,0.05110824366423935,0.08548183984425418
VA,1,0.017424592295941222,0.01692128722065658,0.010794183386202813,0.026901259103304216
VA,2,0.01378290856516581,0.01334603243330412,0.007233805437573927,0.02281685851065607
VA,3,0.024542882192465067,0.02438163604798299,0.019301639954623778,0.030712716849891276
VT,1,0.0035009241367924926,0.003282087825472312,0.001635964655107189,0.006608761291608303
VT,2,0.014636849871362597,0.013906477941256936,0.005373569155035086,0.02779312343164691
VT,3,0.01684067419000292,0.01673054288079834,0.010246550496803316,0.02416445976631236
WA,1,0.07897309836121595,0.07730044101285061,0.04920911309647354,0.11794464446104347
WA,2,0.04419532239361953,0.04303710235307321,0.025055867359522706,0.07007604300324764
WA,3,0.058379402892799026,0.05804315802760329,0.047175899702437,0.0713238892222046
WI,1,0.023454509145577614,0.022130019210286303,0.01149132437927457,0.04276808271793157
WI,2,0.016589883822111892,0.01586604205338441,0.006975750658975478,0.03001361744824381
WI,3,0.025447036435035174,0.0252029055924539,0.01944731244405976,0.032848195855810586
WV,1,0.004304199841928308,0.004126480219494115,0.002302016655319866,0.0073369055063046695
WV,2,0.005872308641214942,0.005472417876051661,0.0018066768748530248,0.01203128457238286
WV,3,0.008155817785277353,0.008052842063128526,0.005511932013085594,0.011417863575710717
WY,1,0.0024814582222890316,0.0023340157258816344,0.0011919506274919902,0.0046406697429499265
WY,2,0.010327989251064684,0.00998529304168649,0.0033539801326962393,0.01925333422208641
WY,3,0.0061418231157109645,0.0060411205811727285,0.003586242007201197,0.009319348473858334
