educ,mean,median,q025,q975,state
4,2404.4328040784844,2165.7864722102213,836.4909945597853,5261.977144424115,SD
1,12840.63571144078,11261.882660061368,4774.371794760329,29381.053747925576,TN
2,42498.967575470335,41692.75310611542,28446.55743555509,60930.96655973195,TN
3,81962.36633621945,81170.84046765392,59647.64094367527,108520.37299118534,TN
4,23632.064653993693,22783.925627897137,14240.58218141227,37743.969909531326,TN
1,51151.138289061804,48844.66073710231,25402.484029583018,89842.28613603243,TX
2,145628.53426747743,143625.0998552633,101941.71437506338,200085.66777736982,TX
3,345923.20532434265,343752.75416353374,265605.4457937837,438322.1545914293,TX
4,102185.08835266046,99952.43623189168,63213.1811557538,153591.01382076132,TX
1,2619.846858180168,2398.343653742486,1125.802767395817,5396.836040485803,UT
2,12822.885407954367,12595.335555149992,8359.669851979115,18594.014255041264,UT
3,39047.19545120007,38613.816489272125,28300.256530509352,52218.849650860204,UT
4,10723.51436159232,10478.208696971615,6389.530995264292,16442.04378485649,UT
1,13238.719409861136,11930.108255804607,4796.380737076929,28904.52912667347,VA
2,47624.790341119355,46866.7995817939,32119.477416671343,67634.6679168015,VA
3,131933.61298094693,130718.91416118917,96614.96350930826,173692.9274462458,VA
4,42134.64081626021,40746.62322325052,23919.361246625893,68427.11443701501,VA
1,1371.6271609343642,977.5217924120802,241.23197827685928,4808.962453976833,VT
2,4802.773112370526,4390.116562314815,1907.9503610304419,9971.503705251067,VT
3,12891.08138437899,12581.346802444354,6208.916380991473,21336.271660957762,VT
4,7389.903824234885,6876.925812849249,2438.98459635601,14999.364822641619,VT
1,9724.75454376526,9080.927614434451,4496.029358986411,18672.973885143532,WA
2,40932.560251545765,40421.72570473591,28679.053791343635,56163.162456629194,WA
3,131231.79711229843,130434.13881659805,101652.4960276197,165149.7315151772,WA
4,43841.8832469477,43137.971855317235,28178.21260437726,63540.42191432744,WA
1,6373.318664874804,5468.508381206997,2345.7135611827744,15678.711140268415,WI
2,31526.21538794179,30780.45843932357,20093.70664747779,47048.74862585533,WI
3,76873.69384444108,76017.56967915586,54185.266685208,104612.81900153092,WI
4,18508.6674550245,17654.914972142942,10328.133101360705,31301.054674586318,WI
1,4191.554425306172,3556.074757263061,1183.9159065541442,10674.352341149097,WV
2,12952.254507892272,12566.01040350713,6989.3959318831,21000.61436459376,WV
3,20328.86383205281,19901.56847942047,11818.243742134953,31252.17439839162,WV
4,5899.578338791564,5436.767153923725,2474.7127268884274,11804.39178483647,WV
1,833.473749756005,602.7876610585442,147.36835021546838,2861.96569356014,WY
2,2790.9784157332238,2570.1495185218637,1111.7784231267274,5700.642896962931,WY
3,7931.793581400746,7785.737061005431,3895.946412149071,12833.937295778942,WY
4,2902.6363530594163,2597.2975775632813,800.7643730783901,6620.053943483188,WY
