age,mean,median,q025,q975,state
5,8757.580837309652,8600.56125487638,5332.639671251114,13028.608452287948,KS
1,8182.896533814608,7607.903566769392,4070.3131443498355,15653.65834112815,KY
2,14573.02359434491,13799.528066032626,8220.121044929248,24822.9444342836,KY
3,12493.382712975104,11989.857103137281,6764.49241939228,20986.298787017127,KY
4,5291.980030148888,5135.483066511775,3177.49701834803,8268.899631722092,KY
5,19492.019217740384,19093.931533899064,11892.851223833777,29241.54060199314,KY
1,7567.335481708016,6973.712558260928,2763.7857985948035,15744.623652982427,LA
2,12644.455222618266,12156.398405136424,6425.362741178217,21680.292317013478,LA
3,9436.822137608326,9094.088829703272,4845.941332048905,15979.062292427263,LA
4,6084.323054425513,5655.692438022802,2497.9154192732894,12137.206226377864,LA
5,14557.10397600039,14059.070953479526,7820.766369359023,24088.958486657953,LA
1,19571.268840060653,18948.997144154815,10778.162611591351,31965.693850704338,MA
2,25187.900977833422,24689.220426185562,16681.105280265696,36612.92719447112,MA
3,18636.46403358655,18171.216431192777,11634.574769167595,28286.56249823654,MA
4,16503.88491138179,15920.816727687215,9177.865298352992,27125.717824953317,MA
5,29296.286370797177,28827.3787858734,20024.039796360288,41135.348372696055,MA
1,14116.628037572113,13527.349424343956,7111.953098644734,24478.821576017788,MD
2,17257.241601448466,16753.73251746985,10515.531802481677,26851.166771906897,MD
3,15685.240782436604,15237.87693111824,9298.569383925731,24623.08053140375,MD
4,12357.709367961392,11779.926363170769,6131.259353306444,21883.87399390597,MD
5,21170.01948787416,20756.542076092857,14063.962684663962,30601.885911957426,MD
1,2837.045320937034,2570.4605793263536,982.3471593267362,6165.39860774576,ME
2,5284.165138262558,4974.695262040374,2402.0895452877817,9855.957651928802,ME
3,4686.1980141457525,4460.778052187885,2165.134991521755,8474.38410372433,ME
4,2128.2084585830803,1975.862118854663,869.20294361456,4263.115551563011,ME
5,9251.062369574614,9090.023179210035,5030.350497803153,14425.015340417454,ME
1,17587.991571965184,17061.79125729971,10043.959268266446,28049.45043287008,MI
2,27407.083041381546,26859.89119894393,18117.616213802332,39644.25459136941,MI
3,20572.823618871094,20165.84640520258,13117.599984603563,30352.667466674688,MI
4,14105.721199620933,13750.466533944396,8573.873595238912,21670.89827723895,MI
5,38347.6922267693,38023.34560706449,27056.40357390391,51549.69221956656,MI
1,8669.926001021873,8368.358603435447,4957.014632595378,14129.478208047169,MN
2,17626.419379678406,17283.793392617474,11515.047231461029,25595.194735650544,MN
3,13684.899937714958,13417.251508230316,8620.11357624333,20301.4356140311,MN
4,7593.045350409289,7408.042465275066,4609.0785826247175,11616.786437292936,MN
5,23189.813771292113,22975.510854607826,15953.9955371325,31662.64393645751,MN
1,11574.057969716854,11123.559636351129,6417.71605966059,19304.60054092453,MO
2,18471.573535763535,17934.66276860652,11745.8591722871,28139.210020592458,MO
3,15377.176964421975,14989.92010578399,9429.46571336318,23520.833889119316,MO
4,8152.990399546055,7931.2515276993,4865.945402099593,12733.027340317427,MO
